dpl,nperi,ci,pow,latency,nce,noise,category
128,4,200,98.43199828,658,4,0,4
128,4,250,86.79453107,743,3,0,4
128,4,270,110.3949631,539,2,0,4
128,4,300,91.14913658,565,2,0,4
251,4,10,382.7435237,63,6,0,1
251,4,15,465.2878037,122,8,0,1
251,4,20,386.9320955,147,8,0,2
251,4,25,309.3124428,144,6,0,3
251,4,30,252.6148505,121,4,0,4
251,4,35,262.8499649,211,6,0,3
251,4,40,268.2009594,222,6,0,3
251,4,45,216.0923923,181,4,0,2
251,4,50,201.4199048,165,4,0,3
251,4,55,177.2270982,110,2,0,2
251,4,60,187.3311879,301,5,0,3
251,4,70,122.438063,275,4,0,4
251,4,90,123.3253865,357,4,0,2
251,4,100,155.7168005,224,3,0,2
251,4,125,111.8039537,485,4,0,3
251,4,150,109.8148147,402,3,0,4
251,4,200,137.6253326,536,3,0,4
251,4,250,89.6517704,631,3,0,4
251,4,270,116.3445288,784,3,0,4
251,4,300,86.04303321,759,3,0,4
27,6,10,414.4721782,119,12,0,2
27,6,15,348.3482619,124,8,0,2
27,6,20,278.7911018,173,9,0,4
27,6,25,243.0558482,279,11,0,3
27,6,30,216.4105903,165,6,0,4
27,6,35,234.7400522,350,10,0,4
27,6,40,179.2820214,189,5,0,4
27,6,45,209.8549912,183,4,0,2
27,6,50,160.1956873,192,4,0,4
27,6,55,151.9524036,401,8,0,4
27,6,60,148.2323925,150,3,0,4
27,6,70,118.2238292,315,5,0,4
27,6,90,153.1806685,629,7,0,4
27,6,100,135.4379224,334,4,0,4
27,6,125,110.4936378,281,3,0,4
27,6,150,96.10884107,509,4,0,4
27,6,200,124.9931869,717,4,0,4
27,6,250,91.19563371,679,3,0,4
27,6,270,123.8628974,1077,4,0,4
27,6,300,109.845099,803,3,0,4
64,6,10,420.5181035,118,12,0,2
64,6,15,341.687899,112,8,0,2
64,6,20,287.0387119,116,6,0,4
64,6,30,212.0682282,183,6,0,4
64,6,35,189.3047603,211,6,0,4
64,6,40,154.5824001,456,12,0,4
64,6,45,158.25894,182,4,0,2
64,6,50,128.992715,284,6,0,4
64,6,55,135.7393921,329,6,0,4
64,6,60,144.9889192,166,3,0,4
64,6,70,149.0546532,410,6,0,4
64,6,90,105.9348365,359,4,0,4
64,6,100,100.8501651,628,7,0,4
64,6,125,114.7940659,699,6,0,4
64,6,150,105.2773925,563,4,0,4
64,6,200,83.46236737,1002,5,0,4
64,6,250,57.28694026,1171,5,0,4
64,6,270,90.71388851,539,2,0,4
64,6,300,82.98891938,866,3,0,4
128,6,10,416.0445733,107,11,0,2
128,6,15,356.8948842,137,9,0,2
128,6,20,284.3330034,181,9,0,4
128,6,25,246.9048844,152,6,0,3
128,6,30,226.4677701,127,5,0,4
128,6,35,183.5161384,209,6,0,4
128,6,40,159.1082371,316,8,0,4
128,6,45,150.9947566,448,10,1,2
128,6,50,139.2792732,433,9,0,4
128,6,55,135.0266891,325,6,0,4
128,6,60,158.2687209,164,3,0,4
128,6,70,116.3421522,279,4,0,4
128,6,90,87.85442941,357,4,0,4
128,6,100,105.794339,542,6,0,4
128,6,125,86.84485547,442,4,0,4
128,6,150,103.0342052,556,4,0,4
128,6,200,77.99904063,776,4,0,4
128,6,250,61.46199987,618,3,0,4
128,6,270,57.42726143,1068,4,0,4
128,6,300,81.3842691,1364,5,0,4
251,6,90,110.902432,358,4,0,4
251,6,100,101.8221193,613,7,0,4
251,6,125,86.28658086,580,5,0,4
251,6,150,63.68522672,767,6,0,4
251,6,200,67.92782781,1395,7,0,4
251,6,250,63.12102454,948,4,0,4
251,6,270,62.05479103,1437,6,0,4
251,6,300,62.19269748,1008,4,0,4
251,5,8,672.6113706,91,11,0,1
251,5,9,629.101899,125,14,1,2
251,5,10,519.9305288,133,13,1,1
251,5,11,506.8112471,101,9,0,2
251,5,12,516.924945,94,8,0,1
251,5,13,435.4879309,103,8,0,1
251,5,14,427.0232225,157,11,0,3
251,5,15,389.3171564,90,6,0,1
251,5,16,378.8764984,128,8,0,2
251,5,17,411.2076118,165,10,0,2
251,5,18,339.4763519,208,12,0,3
251,5,19,312.8852602,246,13,0,3
251,5,20,325.4054861,157,8,0,2
251,5,21,301.3017613,111,5,0,2
251,5,22,302.4981849,157,7,0,2
251,5,23,283.8748194,136,6,0,2
251,5,24,280.0850346,144,6,0,2
251,5,25,262.6855416,151,6,0,2
251,5,26,279.237258,140,6,0,2
251,5,27,262.9485156,157,6,0,2
251,5,28,217.3704513,289,11,0,3
251,5,29,215.597595,244,9,0,3
251,5,30,281.1650032,177,6,0,2
251,5,31,237.0768043,174,6,0,2
251,5,32,195.8792765,453,14,0,4
251,5,33,294.4796822,144,5,0,2
251,5,34,214.8397382,204,6,0,3
251,5,35,266.918605,278,8,0,3
251,5,36,217.2298494,280,8,0,3
251,5,37,265.40948,217,6,0,3
251,5,38,198.528362,222,6,0,3
251,5,39,191.2866348,156,4,0,2
251,5,40,212.6668157,212,6,0,3
251,5,41,175.9094818,271,7,0,3
251,5,42,235.8367201,248,6,0,3
251,5,43,167.2078255,171,4,0,2
251,5,44,182.2191193,187,5,0,2
251,5,45,217.4220042,128,3,0,2
251,5,46,189.5991658,92,2,0,1
251,5,47,183.5535183,232,5,0,3
251,5,48,167.6014915,110,3,0,3
251,5,49,189.47743,197,4,0,3
251,5,50,162.2672805,195,4,0,3
251,5,51,154.1286631,286,6,0,3
251,5,52,173.5169107,206,4,0,3
251,5,53,202.3718879,212,4,0,3
251,5,54,169.9598343,317,6,0,3
251,5,55,186.5984552,314,6,0,4
251,5,56,180.5077903,329,6,0,4
251,5,57,176.6088404,288,5,0,4
251,5,58,175.8493098,344,6,0,4
251,5,59,177.8219439,498,9,0,4
251,5,60,148.5658168,236,4,0,4
251,5,61,172.5133133,226,4,0,4
251,5,62,183.3788417,483,8,0,4
251,5,63,191.3255616,243,4,0,4
251,5,64,164.8489309,254,4,0,4
251,5,65,182.4679286,515,8,0,4
251,5,66,161.6434907,559,9,0,4
251,5,67,162.0284742,398,6,0,4
251,5,68,146.6679187,269,4,0,4
251,5,69,203.0386151,272,4,0,4
251,5,70,129.5160385,279,4,0,4
251,5,10,550.0167027,361,36,1,1
251,5,15,376.502343,191,13,1,1
251,5,20,266.0425109,179,9,1,2
251,5,25,268.1383869,257,11,1,2
251,5,30,264.8173436,354,12,1,2
251,5,35,199.254442,163,5,1,3
251,5,40,182.7509296,350,9,1,3
251,5,45,179.1569005,223,5,1,2
251,5,50,189.6271193,358,8,1,3
251,5,55,163.9234834,764,14,1,4
251,5,60,159.5194353,466,8,1,4
